nome_com;default_Q_SP1;default_Q_SP2;default_Q_SP3;default_Q_SP4;default_Q_SP5;default_Q_SP6;default_Q_SP7;default_Q_SP8;default_Q_SP9;default_Q_SP10;default_Q_SP11;default_Q_SP12;default_Q_SP13;default_Q_SP14;default_Q_SP15;default_Q_SP16;default_Q_SP17;default_Q_SP18;default_Q_SP19;default_Q_SP20
ABBIATEGRASSO;-0.1105;-0.1105;-0.1105;-0.1105;-0.1097;-0.1097;-0.1097;-0.1097;-0.1153;-0.1153;-0.1153;-0.1153;-0.1135;-0.1135;-0.1135;-0.1135;-0.1181;-0.1181;-0.1181;-0.1181
AGRATE BRIANZA;-0.0607;-0.0607;-0.0607;-0.0607;-0.0607;-0.0607;-0.0607;-0.0607;-0.0607;-0.0607;-0.0607;-0.0607;-0.0607;-0.0607;-0.0607;-0.0607;-0.0607;-0.0607;-0.0607;-0.0607
ALBAIRATE;-0.0077;-0.0077;-0.0077;-0.0077;-0.0094;-0.0094;-0.0094;-0.0094;-0.0109;-0.0109;-0.0109;-0.0109;-0.0107;-0.0107;-0.0107;-0.0107;-0.0105;-0.0105;-0.0105;-0.0105
ARCONATE;-0.0031;-0.0031;-0.0031;-0.0031;-0.0031;-0.0031;-0.0031;-0.0031;-0.0031;-0.0031;-0.0031;-0.0031;-0.0031;-0.0031;-0.0031;-0.0031;-0.0031;-0.0031;-0.0031;-0.0031
ARESE;-0.0265;-0.0265;-0.0265;-0.0265;-0.0264;-0.0264;-0.0264;-0.0264;-0.0241;-0.0241;-0.0241;-0.0241;-0.0237;-0.0237;-0.0237;-0.0237;-0.0245;-0.0245;-0.0245;-0.0245
ARLUNO;-0.0316;-0.0316;-0.0316;-0.0316;-0.0316;-0.0316;-0.0316;-0.0316;-0.0316;-0.0316;-0.0316;-0.0316;-0.0663;-0.0663;-0.0663;-0.0663;-0.0572;-0.0572;-0.0572;-0.0572
ASSAGO;-0.1206;-0.1206;-0.1206;-0.1206;-0.1226;-0.1226;-0.1226;-0.1226;-0.1198;-0.1198;-0.1198;-0.1198;-0.1175;-0.1175;-0.1175;-0.1175;-0.107;-0.107;-0.107;-0.107
BARANZATE;-0.0083;-0.0083;-0.0083;-0.0083;-0.0102;-0.0102;-0.0102;-0.0102;-0.0092;-0.0092;-0.0092;-0.0092;-0.0161;-0.0161;-0.0161;-0.0161;-0.0146;-0.0146;-0.0146;-0.0146
BAREGGIO;-0.0666;-0.0666;-0.0666;-0.0666;-0.067;-0.067;-0.067;-0.067;-0.0673;-0.0673;-0.0673;-0.0673;-0.0587;-0.0587;-0.0587;-0.0587;-0.0445;-0.0445;-0.0445;-0.0445
BASIANO;-0.0064;-0.0064;-0.0064;-0.0064;-0.0057;-0.0057;-0.0057;-0.0057;-0.0052;-0.0052;-0.0052;-0.0052;-0.0054;-0.0054;-0.0054;-0.0054;-0.0048;-0.0048;-0.0048;-0.0048
BASIGLIO;-0.0254;-0.0254;-0.0254;-0.0254;-0.026;-0.026;-0.026;-0.026;-0.0269;-0.0269;-0.0269;-0.0269;-0.025;-0.025;-0.025;-0.025;-0.0239;-0.0239;-0.0239;-0.0239
BELLINZAGO LOMBARDO;-0.0114;-0.0114;-0.0114;-0.0114;-0.002;-0.002;-0.002;-0.002;-0.0015;-0.0015;-0.0015;-0.0015;-0.0016;-0.0016;-0.0016;-0.0016;-0.0008;-0.0008;-0.0008;-0.0008
BERNATE TICINO;-0.0002;-0.0002;-0.0002;-0.0002;-0.0002;-0.0002;-0.0002;-0.0002;-0.0003;-0.0003;-0.0003;-0.0003;-0.0003;-0.0003;-0.0003;-0.0003;-0.0003;-0.0003;-0.0003;-0.0003
BINASCO;-0.0721;-0.0721;-0.0721;-0.0721;-0.075;-0.075;-0.075;-0.075;-0.0683;-0.0683;-0.0683;-0.0683;-0.0673;-0.0673;-0.0673;-0.0673;-0.0649;-0.0649;-0.0649;-0.0649
BOFFALORA SOPRA TICINO;-0.0112;-0.0112;-0.0112;-0.0112;-0.0123;-0.0123;-0.0123;-0.0123;-0.012;-0.012;-0.012;-0.012;-0.0116;-0.0116;-0.0116;-0.0116;-0.0102;-0.0102;-0.0102;-0.0102
BOLLATE;-0.1165;-0.1165;-0.1165;-0.1165;-0.1241;-0.1241;-0.1241;-0.1241;-0.1194;-0.1194;-0.1194;-0.1194;-0.1208;-0.1208;-0.1208;-0.1208;-0.1227;-0.1227;-0.1227;-0.1227
BOVISIO MASCIAGO;-0.0272;-0.0272;-0.0272;-0.0272;-0.0272;-0.0272;-0.0272;-0.0272;-0.0272;-0.0272;-0.0272;-0.0272;-0.0272;-0.0272;-0.0272;-0.0272;-0.0272;-0.0272;-0.0272;-0.0272
BRESSO;-0.0272;-0.0272;-0.0272;-0.0272;-0.0892;-0.0892;-0.0892;-0.0892;-0.0541;-0.0541;-0.0541;-0.0541;-0.0367;-0.0367;-0.0367;-0.0367;-0.0392;-0.0392;-0.0392;-0.0392
BRUGHERIO;-0.011;-0.011;-0.011;-0.011;-0.011;-0.011;-0.011;-0.011;-0.011;-0.011;-0.011;-0.011;-0.011;-0.011;-0.011;-0.011;-0.011;-0.011;-0.011;-0.011
BUBBIANO;-0.0041;-0.0041;-0.0041;-0.0041;-0.0041;-0.0041;-0.0041;-0.0041;-0.0036;-0.0036;-0.0036;-0.0036;-0.0045;-0.0045;-0.0045;-0.0045;-0.0032;-0.0032;-0.0032;-0.0032
BUCCINASCO;-0.1383;-0.1383;-0.1383;-0.1383;-0.1384;-0.1384;-0.1384;-0.1384;-0.1385;-0.1385;-0.1385;-0.1385;-0.134;-0.134;-0.134;-0.134;-0.1311;-0.1311;-0.1311;-0.1311
BURAGO DI MOLGORA;-0.0075;-0.0075;-0.0075;-0.0075;-0.0075;-0.0075;-0.0075;-0.0075;-0.0075;-0.0075;-0.0075;-0.0075;-0.0075;-0.0075;-0.0075;-0.0075;-0.0075;-0.0075;-0.0075;-0.0075
BUSCATE;-0.0058;-0.0058;-0.0058;-0.0058;-0.0058;-0.0058;-0.0058;-0.0058;-0.0058;-0.0058;-0.0058;-0.0058;-0.0058;-0.0058;-0.0058;-0.0058;-0.0058;-0.0058;-0.0058;-0.0058
BUSSERO;-0.0216;-0.0216;-0.0216;-0.0216;-0.0225;-0.0225;-0.0225;-0.0225;-0.0249;-0.0249;-0.0249;-0.0249;-0.0263;-0.0263;-0.0263;-0.0263;-0.0291;-0.0291;-0.0291;-0.0291
BUSTO ARSIZIO;-0.0303;-0.0303;-0.0303;-0.0303;-0.0303;-0.0303;-0.0303;-0.0303;-0.0303;-0.0303;-0.0303;-0.0303;-0.0303;-0.0303;-0.0303;-0.0303;-0.0303;-0.0303;-0.0303;-0.0303
BUSTO GAROLFO;-0.02;-0.02;-0.02;-0.02;-0.0195;-0.0195;-0.0195;-0.0195;-0.0203;-0.0203;-0.0203;-0.0203;-0.021;-0.021;-0.021;-0.021;-0.0214;-0.0214;-0.0214;-0.0214
CALVIGNASCO;-0.008;-0.008;-0.008;-0.008;-0.0098;-0.0098;-0.0098;-0.0098;-0.0087;-0.0087;-0.0087;-0.0087;-0.0098;-0.0098;-0.0098;-0.0098;-0.0063;-0.0063;-0.0063;-0.0063
CAMBIAGO;-0.0032;-0.0032;-0.0032;-0.0032;-0.0032;-0.0032;-0.0032;-0.0032;-0.0036;-0.0036;-0.0036;-0.0036;0;0;0;0;0;0;0;0
CANEGRATE;-0.0009;-0.0009;-0.0009;-0.0009;-0.0016;-0.0016;-0.0016;-0.0016;-0.0016;-0.0016;-0.0016;-0.0016;-0.001;-0.001;-0.001;-0.001;-0.0031;-0.0031;-0.0031;-0.0031
CAPONAGO;-0.0075;-0.0075;-0.0075;-0.0075;-0.0075;-0.0075;-0.0075;-0.0075;-0.0075;-0.0075;-0.0075;-0.0075;-0.0075;-0.0075;-0.0075;-0.0075;-0.0075;-0.0075;-0.0075;-0.0075
CARONNO PERTUSELLA;-0.4689;-0.4689;-0.4689;-0.4689;-0.4689;-0.4689;-0.4689;-0.4689;-0.4689;-0.4689;-0.4689;-0.4689;-0.4689;-0.4689;-0.4689;-0.4689;-0.4689;-0.4689;-0.4689;-0.4689
CARPIANO;-0.0389;-0.0389;-0.0389;-0.0389;-0.0379;-0.0379;-0.0379;-0.0379;-0.0319;-0.0319;-0.0319;-0.0319;-0.0332;-0.0332;-0.0332;-0.0332;-0.0376;-0.0376;-0.0376;-0.0376
CARUGATE;-0.0586;-0.0586;-0.0586;-0.0586;-0.0617;-0.0617;-0.0617;-0.0617;-0.0625;-0.0625;-0.0625;-0.0625;-0.0605;-0.0605;-0.0605;-0.0605;-0.0634;-0.0634;-0.0634;-0.0634
CASALETTO LODIGIANO;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
CASALMAIOCCO;-0.0172;-0.0172;-0.0172;-0.0172;-0.0172;-0.0172;-0.0172;-0.0172;-0.0172;-0.0172;-0.0172;-0.0172;-0.0172;-0.0172;-0.0172;-0.0172;-0.0172;-0.0172;-0.0172;-0.0172
CASARILE;-0.0258;-0.0258;-0.0258;-0.0258;-0.0258;-0.0258;-0.0258;-0.0258;-0.0258;-0.0258;-0.0258;-0.0258;-0.0258;-0.0258;-0.0258;-0.0258;-0.0258;-0.0258;-0.0258;-0.0258
CASOREZZO;-0.0125;-0.0125;-0.0125;-0.0125;-0.0127;-0.0127;-0.0127;-0.0127;-0.0125;-0.0125;-0.0125;-0.0125;-0.0134;-0.0134;-0.0134;-0.0134;-0.0138;-0.0138;-0.0138;-0.0138
CASSANO D`ADDA;-0.0962;-0.0962;-0.0962;-0.0962;-0.1036;-0.1036;-0.1036;-0.1036;-0.1013;-0.1013;-0.1013;-0.1013;-0.0986;-0.0986;-0.0986;-0.0986;-0.0942;-0.0942;-0.0942;-0.0942
CASSINA DE PECCHI;-0.0754;-0.0754;-0.0754;-0.0754;-0.0763;-0.0763;-0.0763;-0.0763;-0.0759;-0.0759;-0.0759;-0.0759;-0.0634;-0.0634;-0.0634;-0.0634;-0.0622;-0.0622;-0.0622;-0.0622
CASSINETTA DI LUGAGNANO;-0.0072;-0.0072;-0.0072;-0.0072;-0.0075;-0.0075;-0.0075;-0.0075;-0.0063;-0.0063;-0.0063;-0.0063;-0.0053;-0.0053;-0.0053;-0.0053;-0.0064;-0.0064;-0.0064;-0.0064
CASTANO PRIMO;-0.0093;-0.0093;-0.0093;-0.0093;-0.0098;-0.0098;-0.0098;-0.0098;-0.0099;-0.0099;-0.0099;-0.0099;-0.0107;-0.0107;-0.0107;-0.0107;-0.0104;-0.0104;-0.0104;-0.0104
CERNUSCO SUL NAVIGLIO;-0.1646;-0.1646;-0.1646;-0.1646;-0.1445;-0.1445;-0.1445;-0.1445;-0.1436;-0.1436;-0.1436;-0.1436;-0.1683;-0.1683;-0.1683;-0.1683;-0.1654;-0.1654;-0.1654;-0.1654
CERRO AL LAMBRO;-0.0212;-0.0212;-0.0212;-0.0212;-0.024;-0.024;-0.024;-0.024;-0.0262;-0.0262;-0.0262;-0.0262;-0.0275;-0.0275;-0.0275;-0.0275;-0.0269;-0.0269;-0.0269;-0.0269
CERRO MAGGIORE;-0.0198;-0.0198;-0.0198;-0.0198;-0.0196;-0.0196;-0.0196;-0.0196;-0.0174;-0.0174;-0.0174;-0.0174;-0.0186;-0.0186;-0.0186;-0.0186;-0.0176;-0.0176;-0.0176;-0.0176
CERVIGNANO D`ADDA;-0.0111;-0.0111;-0.0111;-0.0111;-0.0111;-0.0111;-0.0111;-0.0111;-0.0111;-0.0111;-0.0111;-0.0111;-0.0111;-0.0111;-0.0111;-0.0111;-0.0111;-0.0111;-0.0111;-0.0111
CESANO BOSCONE;-0.0873;-0.0873;-0.0873;-0.0873;-0.0809;-0.0809;-0.0809;-0.0809;-0.0794;-0.0794;-0.0794;-0.0794;-0.0866;-0.0866;-0.0866;-0.0866;-0.085;-0.085;-0.085;-0.085
CESATE;-0.0118;-0.0118;-0.0118;-0.0118;-0.0099;-0.0099;-0.0099;-0.0099;-0.0049;-0.0049;-0.0049;-0.0049;-0.0074;-0.0074;-0.0074;-0.0074;-0.0062;-0.0062;-0.0062;-0.0062
CINISELLO BALSAMO;-0.295;-0.295;-0.295;-0.295;-0.2874;-0.2874;-0.2874;-0.2874;-0.2833;-0.2833;-0.2833;-0.2833;-0.2781;-0.2781;-0.2781;-0.2781;-0.2825;-0.2825;-0.2825;-0.2825
CISLIANO;-0.0391;-0.0391;-0.0391;-0.0391;-0.0398;-0.0398;-0.0398;-0.0398;-0.039;-0.039;-0.039;-0.039;-0.0401;-0.0401;-0.0401;-0.0401;-0.0367;-0.0367;-0.0367;-0.0367
COLOGNO MONZESE;-0.2194;-0.2194;-0.2194;-0.2194;-0.247;-0.247;-0.247;-0.247;-0.2438;-0.2438;-0.2438;-0.2438;-0.2482;-0.2482;-0.2482;-0.2482;-0.2635;-0.2635;-0.2635;-0.2635
COLTURANO;-0.0173;-0.0173;-0.0173;-0.0173;-0.0139;-0.0139;-0.0139;-0.0139;-0.0134;-0.0134;-0.0134;-0.0134;-0.0161;-0.0161;-0.0161;-0.0161;-0.0177;-0.0177;-0.0177;-0.0177
COMAZZO;-0.0128;-0.0128;-0.0128;-0.0128;-0.0128;-0.0128;-0.0128;-0.0128;-0.0128;-0.0128;-0.0128;-0.0128;-0.0128;-0.0128;-0.0128;-0.0128;-0.0128;-0.0128;-0.0128;-0.0128
CONCOREZZO;-0.0546;-0.0546;-0.0546;-0.0546;-0.0546;-0.0546;-0.0546;-0.0546;-0.0546;-0.0546;-0.0546;-0.0546;-0.0546;-0.0546;-0.0546;-0.0546;-0.0546;-0.0546;-0.0546;-0.0546
CORBETTA;-0.0985;-0.0985;-0.0985;-0.0985;-0.093;-0.093;-0.093;-0.093;-0.0687;-0.0687;-0.0687;-0.0687;-0.0717;-0.0717;-0.0717;-0.0717;-0.1008;-0.1008;-0.1008;-0.1008
CORMANO;-0.0531;-0.0531;-0.0531;-0.0531;-0.0346;-0.0346;-0.0346;-0.0346;-0.0352;-0.0352;-0.0352;-0.0352;-0.0535;-0.0535;-0.0535;-0.0535;-0.0723;-0.0723;-0.0723;-0.0723
CORNAREDO;-0.0662;-0.0662;-0.0662;-0.0662;-0.0643;-0.0643;-0.0643;-0.0643;-0.0674;-0.0674;-0.0674;-0.0674;-0.0644;-0.0644;-0.0644;-0.0644;-0.0553;-0.0553;-0.0553;-0.0553
CORSICO;-0.0267;-0.0267;-0.0267;-0.0267;-0.0289;-0.0289;-0.0289;-0.0289;-0.0283;-0.0283;-0.0283;-0.0283;-0.0273;-0.0273;-0.0273;-0.0273;-0.0273;-0.0273;-0.0273;-0.0273
CUGGIONO;-0.0366;-0.0366;-0.0366;-0.0366;-0.0436;-0.0436;-0.0436;-0.0436;-0.0348;-0.0348;-0.0348;-0.0348;-0.0178;-0.0178;-0.0178;-0.0178;-0.0129;-0.0129;-0.0129;-0.0129
CUSAGO;-0.0417;-0.0417;-0.0417;-0.0417;-0.0459;-0.0459;-0.0459;-0.0459;-0.0493;-0.0493;-0.0493;-0.0493;-0.0491;-0.0491;-0.0491;-0.0491;-0.0506;-0.0506;-0.0506;-0.0506
CUSANO MILANINO;-0.1198;-0.1198;-0.1198;-0.1198;-0.1038;-0.1038;-0.1038;-0.1038;-0.1353;-0.1353;-0.1353;-0.1353;-0.1255;-0.1255;-0.1255;-0.1255;-0.0878;-0.0878;-0.0878;-0.0878
DESIO;-0.0253;-0.0253;-0.0253;-0.0253;-0.0253;-0.0253;-0.0253;-0.0253;-0.0253;-0.0253;-0.0253;-0.0253;-0.0253;-0.0253;-0.0253;-0.0253;-0.0253;-0.0253;-0.0253;-0.0253
DRESANO;-0.0132;-0.0132;-0.0132;-0.0132;-0.0152;-0.0152;-0.0152;-0.0152;-0.015;-0.015;-0.015;-0.015;-0.0144;-0.0144;-0.0144;-0.0144;-0.0139;-0.0139;-0.0139;-0.0139
GAGGIANO;-0.113;-0.113;-0.113;-0.113;-0.0578;-0.0578;-0.0578;-0.0578;-0.0552;-0.0552;-0.0552;-0.0552;-0.0558;-0.0558;-0.0558;-0.0558;-0.0558;-0.0558;-0.0558;-0.0558
GALGAGNANO;-0.0062;-0.0062;-0.0062;-0.0062;-0.0062;-0.0062;-0.0062;-0.0062;-0.0062;-0.0062;-0.0062;-0.0062;-0.0062;-0.0062;-0.0062;-0.0062;-0.0062;-0.0062;-0.0062;-0.0062
GARBAGNATE MILANESE;-0.0283;-0.0283;-0.0283;-0.0283;-0.0272;-0.0272;-0.0272;-0.0272;-0.0258;-0.0258;-0.0258;-0.0258;-0.0254;-0.0254;-0.0254;-0.0254;-0.024;-0.024;-0.024;-0.024
GESSATE;-0.0015;-0.0015;-0.0015;-0.0015;-0.0015;-0.0015;-0.0015;-0.0015;-0.0096;-0.0096;-0.0096;-0.0096;-0.0049;-0.0049;-0.0049;-0.0049;-0.0052;-0.0052;-0.0052;-0.0052
GORGONZOLA;-0.0069;-0.0069;-0.0069;-0.0069;-0.0069;-0.0069;-0.0069;-0.0069;-0.095;-0.095;-0.095;-0.095;-0.0993;-0.0993;-0.0993;-0.0993;-0.106;-0.106;-0.106;-0.106
GREZZAGO;-0.0016;-0.0016;-0.0016;-0.0016;-0.0016;-0.0016;-0.0016;-0.0016;-0.0016;-0.0016;-0.0016;-0.0016;-0.0016;-0.0016;-0.0016;-0.0016;-0.0016;-0.0016;-0.0016;-0.0016
GUDO VISCONTI;-0.005;-0.005;-0.005;-0.005;-0.0066;-0.0066;-0.0066;-0.0066;-0.0067;-0.0067;-0.0067;-0.0067;-0.007;-0.007;-0.007;-0.007;-0.0067;-0.0067;-0.0067;-0.0067
INVERUNO;-0.0351;-0.0351;-0.0351;-0.0351;-0.0356;-0.0356;-0.0356;-0.0356;-0.0332;-0.0332;-0.0332;-0.0332;-0.0328;-0.0328;-0.0328;-0.0328;-0.0322;-0.0322;-0.0322;-0.0322
INZAGO;-0.0487;-0.0487;-0.0487;-0.0487;-0.0508;-0.0508;-0.0508;-0.0508;-0.0355;-0.0355;-0.0355;-0.0355;-0.0434;-0.0434;-0.0434;-0.0434;-0.0493;-0.0493;-0.0493;-0.0493
LACCHIARELLA;-0.061;-0.061;-0.061;-0.061;-0.0738;-0.0738;-0.0738;-0.0738;-0.0732;-0.0732;-0.0732;-0.0732;-0.078;-0.078;-0.078;-0.078;-0.0779;-0.0779;-0.0779;-0.0779
LAINATE;-0.0634;-0.0634;-0.0634;-0.0634;-0.0634;-0.0634;-0.0634;-0.0634;-0.0609;-0.0609;-0.0609;-0.0609;-0.08;-0.08;-0.08;-0.08;-0.0792;-0.0792;-0.0792;-0.0792
LANDRIANO;-0.0118;-0.0118;-0.0118;-0.0118;-0.0118;-0.0118;-0.0118;-0.0118;-0.0118;-0.0118;-0.0118;-0.0118;-0.0118;-0.0118;-0.0118;-0.0118;-0.0118;-0.0118;-0.0118;-0.0118
LEGNANO;-0.0916;-0.0916;-0.0916;-0.0916;-0.0903;-0.0903;-0.0903;-0.0903;-0.0819;-0.0819;-0.0819;-0.0819;-0.0802;-0.0802;-0.0802;-0.0802;-0.0922;-0.0922;-0.0922;-0.0922
LIMBIATE;-0.0275;-0.0275;-0.0275;-0.0275;-0.0275;-0.0275;-0.0275;-0.0275;-0.0275;-0.0275;-0.0275;-0.0275;-0.0275;-0.0275;-0.0275;-0.0275;-0.0275;-0.0275;-0.0275;-0.0275
LISCATE;-0.0359;-0.0359;-0.0359;-0.0359;-0.0366;-0.0366;-0.0366;-0.0366;-0.0379;-0.0379;-0.0379;-0.0379;-0.0386;-0.0386;-0.0386;-0.0386;-0.0341;-0.0341;-0.0341;-0.0341
LISSONE;-0.0184;-0.0184;-0.0184;-0.0184;-0.0184;-0.0184;-0.0184;-0.0184;-0.0184;-0.0184;-0.0184;-0.0184;-0.0184;-0.0184;-0.0184;-0.0184;-0.0184;-0.0184;-0.0184;-0.0184
LOCATE DI TRIULZI;-0.0474;-0.0474;-0.0474;-0.0474;-0.0469;-0.0469;-0.0469;-0.0469;-0.0463;-0.0463;-0.0463;-0.0463;-0.0479;-0.0479;-0.0479;-0.0479;-0.0459;-0.0459;-0.0459;-0.0459
LODI;-0.269;-0.269;-0.269;-0.269;-0.269;-0.269;-0.269;-0.269;-0.269;-0.269;-0.269;-0.269;-0.269;-0.269;-0.269;-0.269;-0.269;-0.269;-0.269;-0.269
LODI VECCHIO;-0.038;-0.038;-0.038;-0.038;-0.038;-0.038;-0.038;-0.038;-0.038;-0.038;-0.038;-0.038;-0.038;-0.038;-0.038;-0.038;-0.038;-0.038;-0.038;-0.038
LONATE POZZOLO;-0.0735;-0.0735;-0.0735;-0.0735;-0.0735;-0.0735;-0.0735;-0.0735;-0.0735;-0.0735;-0.0735;-0.0735;-0.0735;-0.0735;-0.0735;-0.0735;-0.0735;-0.0735;-0.0735;-0.0735
