nome_com;default_Q_SP1;default_Q_SP2;default_Q_SP3;default_Q_SP4;default_Q_SP5;default_Q_SP6;default_Q_SP7;default_Q_SP8;default_Q_SP9;default_Q_SP10;default_Q_SP11;default_Q_SP12;default_Q_SP13;default_Q_SP14;default_Q_SP15;default_Q_SP16;default_Q_SP17;default_Q_SP18;default_Q_SP19;default_Q_SP20
MAGENTA;-0.3737;-0.3737;-0.3737;-0.3737;-0.3704;-0.3704;-0.3704;-0.3704;-0.3723;-0.3723;-0.3723;-0.3723;-0.3821;-0.3821;-0.3821;-0.3821;-0.3717;-0.3717;-0.3717;-0.3717
MAGNAGO;-0.0243;-0.0243;-0.0243;-0.0243;-0.0326;-0.0326;-0.0326;-0.0326;-0.0306;-0.0306;-0.0306;-0.0306;-0.0301;-0.0301;-0.0301;-0.0301;-0.0263;-0.0263;-0.0263;-0.0263
MARCALLO CON CASONE;-0.0366;-0.0366;-0.0366;-0.0366;-0.0318;-0.0318;-0.0318;-0.0318;-0.0314;-0.0314;-0.0314;-0.0314;-0.0321;-0.0321;-0.0321;-0.0321;-0.0319;-0.0319;-0.0319;-0.0319
MASATE;-0.0108;-0.0108;-0.0108;-0.0108;-0.0116;-0.0116;-0.0116;-0.0116;-0.0114;-0.0114;-0.0114;-0.0114;-0.0111;-0.0111;-0.0111;-0.0111;-0.0112;-0.0112;-0.0112;-0.0112
MEDIGLIA;-0.1282;-0.1282;-0.1282;-0.1282;-0.1364;-0.1364;-0.1364;-0.1364;-0.1321;-0.1321;-0.1321;-0.1321;-0.1246;-0.1246;-0.1246;-0.1246;-0.1263;-0.1263;-0.1263;-0.1263
MELEGNANO;-0.064;-0.064;-0.064;-0.064;-0.0674;-0.0674;-0.0674;-0.0674;-0.0641;-0.0641;-0.0641;-0.0641;-0.0583;-0.0583;-0.0583;-0.0583;-0.0563;-0.0563;-0.0563;-0.0563
MELZO;-0.1468;-0.1468;-0.1468;-0.1468;-0.1461;-0.1461;-0.1461;-0.1461;-0.1407;-0.1407;-0.1407;-0.1407;-0.15;-0.15;-0.15;-0.15;-0.1481;-0.1481;-0.1481;-0.1481
MERLINO;-0.0091;-0.0091;-0.0091;-0.0091;-0.0091;-0.0091;-0.0091;-0.0091;-0.0091;-0.0091;-0.0091;-0.0091;-0.0091;-0.0091;-0.0091;-0.0091;-0.0091;-0.0091;-0.0091;-0.0091
MESERO;-0.0087;-0.0087;-0.0087;-0.0087;-0.0087;-0.0087;-0.0087;-0.0087;-0.0086;-0.0086;-0.0086;-0.0086;-0.0087;-0.0087;-0.0087;-0.0087;-0.0087;-0.0087;-0.0087;-0.0087
MILANO;-9.0822;-9.302;-9.1466;-9.0059;-9.2379;-9.624;-9.9034;-9.2954;-9.1407;-9.3816;-9.4716;-9.2925;-9.301;-9.56;-9.6545;-9.0963;-9.0649;-9.2136;-9.4092;-9.0876
MONTANASO LOMBARDO;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01;-0.01
MONZA;-0.253;-0.253;-0.253;-0.253;-0.253;-0.253;-0.253;-0.253;-0.253;-0.253;-0.253;-0.253;-0.253;-0.253;-0.253;-0.253;-0.253;-0.253;-0.253;-0.253
MORIMONDO;-0.009;-0.009;-0.009;-0.009;-0.0103;-0.0103;-0.0103;-0.0103;-0.0102;-0.0102;-0.0102;-0.0102;-0.0128;-0.0128;-0.0128;-0.0128;-0.0108;-0.0108;-0.0108;-0.0108
MUGGIO`;-0.0388;-0.0388;-0.0388;-0.0388;-0.0388;-0.0388;-0.0388;-0.0388;-0.0388;-0.0388;-0.0388;-0.0388;-0.0388;-0.0388;-0.0388;-0.0388;-0.0388;-0.0388;-0.0388;-0.0388
MULAZZANO;-0.0652;-0.0652;-0.0652;-0.0652;-0.0652;-0.0652;-0.0652;-0.0652;-0.0652;-0.0652;-0.0652;-0.0652;-0.0652;-0.0652;-0.0652;-0.0652;-0.0652;-0.0652;-0.0652;-0.0652
NERVIANO;-0.119;-0.119;-0.119;-0.119;-0.1158;-0.1158;-0.1158;-0.1158;-0.1109;-0.1109;-0.1109;-0.1109;-0.1091;-0.1091;-0.1091;-0.1091;-0.1053;-0.1053;-0.1053;-0.1053
NOSATE;-0.0002;-0.0002;-0.0002;-0.0002;-0.0002;-0.0002;-0.0002;-0.0002;-0.0002;-0.0002;-0.0002;-0.0002;-0.0002;-0.0002;-0.0002;-0.0002;-0.0003;-0.0003;-0.0003;-0.0003
NOVA MILANESE;-0.08;-0.08;-0.08;-0.08;-0.08;-0.08;-0.08;-0.08;-0.08;-0.08;-0.08;-0.08;-0.08;-0.08;-0.08;-0.08;-0.08;-0.08;-0.08;-0.08
NOVATE MILANESE;-0.0781;-0.0781;-0.0781;-0.0781;-0.0818;-0.0818;-0.0818;-0.0818;-0.08;-0.08;-0.08;-0.08;-0.0785;-0.0785;-0.0785;-0.0785;-0.0804;-0.0804;-0.0804;-0.0804
NOVIGLIO;-0.0264;-0.0264;-0.0264;-0.0264;-0.0264;-0.0264;-0.0264;-0.0264;-0.0255;-0.0255;-0.0255;-0.0255;-0.0279;-0.0279;-0.0279;-0.0279;-0.028;-0.028;-0.028;-0.028
OPERA;-0.0906;-0.0906;-0.0906;-0.0906;-0.0896;-0.0896;-0.0896;-0.0896;-0.0898;-0.0898;-0.0898;-0.0898;-0.0929;-0.0929;-0.0929;-0.0929;-0.0881;-0.0881;-0.0881;-0.0881
ORIGGIO;-0.1127;-0.1127;-0.1127;-0.1127;-0.1127;-0.1127;-0.1127;-0.1127;-0.1127;-0.1127;-0.1127;-0.1127;-0.1127;-0.1127;-0.1127;-0.1127;-0.1127;-0.1127;-0.1127;-0.1127
ORNAGO;-0.035;-0.035;-0.035;-0.035;-0.035;-0.035;-0.035;-0.035;-0.035;-0.035;-0.035;-0.035;-0.035;-0.035;-0.035;-0.035;-0.035;-0.035;-0.035;-0.035
OSSONA;-0.0076;-0.0076;-0.0076;-0.0076;-0.0078;-0.0078;-0.0078;-0.0078;-0.0074;-0.0074;-0.0074;-0.0074;-0.01;-0.01;-0.01;-0.01;-0.0103;-0.0103;-0.0103;-0.0103
OZZERO;-0.0088;-0.0088;-0.0088;-0.0088;-0.012;-0.012;-0.012;-0.012;-0.0112;-0.0112;-0.0112;-0.0112;-0.0074;-0.0074;-0.0074;-0.0074;-0.0065;-0.0065;-0.0065;-0.0065
PADERNO DUGNANO;-0.16;-0.16;-0.16;-0.16;-0.3671;-0.3671;-0.3671;-0.3671;-0.1602;-0.1602;-0.1602;-0.1602;-0.1614;-0.1614;-0.1614;-0.1614;-0.1552;-0.1552;-0.1552;-0.1552
PANTIGLIATE;-0.047;-0.047;-0.047;-0.047;-0.0491;-0.0491;-0.0491;-0.0491;-0.048;-0.048;-0.048;-0.048;-0.0537;-0.0537;-0.0537;-0.0537;-0.0559;-0.0559;-0.0559;-0.0559
PARABIAGO;-0.0215;-0.0215;-0.0215;-0.0215;-0.0245;-0.0245;-0.0245;-0.0245;-0.0124;-0.0124;-0.0124;-0.0124;-0.0179;-0.0179;-0.0179;-0.0179;-0.0232;-0.0232;-0.0232;-0.0232
PAULLO;-0.1272;-0.1272;-0.1272;-0.1272;-0.1266;-0.1266;-0.1266;-0.1266;-0.1247;-0.1247;-0.1247;-0.1247;-0.1226;-0.1226;-0.1226;-0.1226;-0.1237;-0.1237;-0.1237;-0.1237
PERO;-0.1053;-0.1053;-0.1053;-0.1053;-0.0992;-0.0992;-0.0992;-0.0992;-0.1088;-0.1088;-0.1088;-0.1088;-0.1066;-0.1066;-0.1066;-0.1066;-0.113;-0.113;-0.113;-0.113
PESCHIERA BORROMEO;-0.1329;-0.1329;-0.1329;-0.1329;-0.1267;-0.1267;-0.1267;-0.1267;-0.1289;-0.1289;-0.1289;-0.1289;-0.135;-0.135;-0.135;-0.135;-0.1419;-0.1419;-0.1419;-0.1419
PESSANO CON BORNAGO;-0.0003;-0.0003;-0.0003;-0.0003;-0.0003;-0.0003;-0.0003;-0.0003;-0.0204;-0.0204;-0.0204;-0.0204;-0.021;-0.021;-0.021;-0.021;-0.0211;-0.0211;-0.0211;-0.0211
PIEVE EMANUELE;-0.1125;-0.1125;-0.1125;-0.1125;-0.1231;-0.1231;-0.1231;-0.1231;-0.1206;-0.1206;-0.1206;-0.1206;-0.1235;-0.1235;-0.1235;-0.1235;-0.1224;-0.1224;-0.1224;-0.1224
PIOLTELLO;-0.1884;-0.1884;-0.1884;-0.1884;-0.1769;-0.1769;-0.1769;-0.1769;-0.1692;-0.1692;-0.1692;-0.1692;-0.1874;-0.1874;-0.1874;-0.1874;-0.1989;-0.1989;-0.1989;-0.1989
POGLIANO MILANESE;-0.0229;-0.0229;-0.0229;-0.0229;-0.0231;-0.0231;-0.0231;-0.0231;-0.0244;-0.0244;-0.0244;-0.0244;-0.0285;-0.0285;-0.0285;-0.0285;-0.0337;-0.0337;-0.0337;-0.0337
POZZO D`ADDA;-0.0051;-0.0051;-0.0051;-0.0051;-0.0065;-0.0065;-0.0065;-0.0065;-0.0068;-0.0068;-0.0068;-0.0068;-0.0059;-0.0059;-0.0059;-0.0059;-0.0062;-0.0062;-0.0062;-0.0062
POZZUOLO MARTESANA;-0.1738;-0.1738;-0.1738;-0.1738;-0.2416;-0.2416;-0.2416;-0.2416;-0.2451;-0.2451;-0.2451;-0.2451;-0.2032;-0.2032;-0.2032;-0.2032;-0.1743;-0.1743;-0.1743;-0.1743
PREGNANA MILANESE;-0.007;-0.007;-0.007;-0.007;-0.0078;-0.0078;-0.0078;-0.0078;-0.0081;-0.0081;-0.0081;-0.0081;-0.0064;-0.0064;-0.0064;-0.0064;-0.0036;-0.0036;-0.0036;-0.0036
RHO;-0.2296;-0.2296;-0.2296;-0.2296;-0.2218;-0.2218;-0.2218;-0.2218;-0.2175;-0.2175;-0.2175;-0.2175;-0.2086;-0.2086;-0.2086;-0.2086;-0.2015;-0.2015;-0.2015;-0.2015
RIVOLTA D`ADDA;-0.0002;-0.0002;-0.0002;-0.0002;-0.0002;-0.0002;-0.0002;-0.0002;-0.0002;-0.0002;-0.0002;-0.0002;-0.0002;-0.0002;-0.0002;-0.0002;-0.0002;-0.0002;-0.0002;-0.0002
ROBECCHETTO CON INDUNO;-0.058;-0.058;-0.058;-0.058;-0.0577;-0.0577;-0.0577;-0.0577;-0.0582;-0.0582;-0.0582;-0.0582;-0.0585;-0.0585;-0.0585;-0.0585;-0.0589;-0.0589;-0.0589;-0.0589
ROBECCO SUL NAVIGLIO;-0.0135;-0.0135;-0.0135;-0.0135;-0.0156;-0.0156;-0.0156;-0.0156;-0.0167;-0.0167;-0.0167;-0.0167;-0.0191;-0.0191;-0.0191;-0.0191;-0.0176;-0.0176;-0.0176;-0.0176
RODANO;-0.3069;-0.3069;-0.3069;-0.3069;-0.3074;-0.3074;-0.3074;-0.3074;-0.3078;-0.3078;-0.3078;-0.3078;-0.3157;-0.3157;-0.3157;-0.3157;-0.3101;-0.3101;-0.3101;-0.3101
ROSATE;-0.0408;-0.0408;-0.0408;-0.0408;-0.0401;-0.0401;-0.0401;-0.0401;-0.0406;-0.0406;-0.0406;-0.0406;-0.0399;-0.0399;-0.0399;-0.0399;-0.0396;-0.0396;-0.0396;-0.0396
ROZZANO;-0.3586;-0.3586;-0.3586;-0.3586;-0.3512;-0.3512;-0.3512;-0.3512;-0.352;-0.352;-0.352;-0.352;-0.3537;-0.3537;-0.3537;-0.3537;-0.3555;-0.3555;-0.3555;-0.3555
SAMARATE;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
SAN DONATO MILANESE;-0.3086;-0.3086;-0.3086;-0.3086;-0.2987;-0.2987;-0.2987;-0.2987;-0.2993;-0.2993;-0.2993;-0.2993;-0.3021;-0.3021;-0.3021;-0.3021;-0.2729;-0.2729;-0.2729;-0.2729
SAN GIORGIO SU LEGNANO;-0.0035;-0.0035;-0.0035;-0.0035;-0.003;-0.003;-0.003;-0.003;-0.003;-0.003;-0.003;-0.003;-0.0022;-0.0022;-0.0022;-0.0022;-0.0052;-0.0052;-0.0052;-0.0052
SAN GIULIANO MILANESE;-0.2401;-0.2401;-0.2401;-0.2401;-0.2553;-0.2553;-0.2553;-0.2553;-0.2182;-0.2182;-0.2182;-0.2182;-0.2126;-0.2126;-0.2126;-0.2126;-0.2089;-0.2089;-0.2089;-0.2089
SAN VITTORE OLONA;-0.02;-0.02;-0.02;-0.02;-0.028;-0.028;-0.028;-0.028;-0.0264;-0.0264;-0.0264;-0.0264;-0.0262;-0.0262;-0.0262;-0.0262;-0.0232;-0.0232;-0.0232;-0.0232
SAN ZENONE AL LAMBRO;-0.0197;-0.0197;-0.0197;-0.0197;-0.0208;-0.0208;-0.0208;-0.0208;-0.0214;-0.0214;-0.0214;-0.0214;-0.02;-0.02;-0.02;-0.02;-0.0227;-0.0227;-0.0227;-0.0227
SANTO STEFANO TICINO;-0.0026;-0.0026;-0.0026;-0.0026;-0.0026;-0.0026;-0.0026;-0.0026;-0.0026;-0.0026;-0.0026;-0.0026;-0.0026;-0.0026;-0.0026;-0.0026;-0.0026;-0.0026;-0.0026;-0.0026
SEDRIANO;-0.0404;-0.0404;-0.0404;-0.0404;-0.0492;-0.0492;-0.0492;-0.0492;-0.043;-0.043;-0.043;-0.043;-0.0492;-0.0492;-0.0492;-0.0492;-0.0549;-0.0549;-0.0549;-0.0549
SEGRATE;-0.4531;-0.4531;-0.4531;-0.4531;-0.4693;-0.4693;-0.4693;-0.4693;-0.4726;-0.4726;-0.4726;-0.4726;-0.457;-0.457;-0.457;-0.457;-0.4496;-0.4496;-0.4496;-0.4496
SENAGO;-0.0601;-0.0601;-0.0601;-0.0601;-0.0608;-0.0608;-0.0608;-0.0608;-0.0647;-0.0647;-0.0647;-0.0647;-0.0654;-0.0654;-0.0654;-0.0654;-0.0615;-0.0615;-0.0615;-0.0615
SESTO SAN GIOVANNI;-0.4081;-0.4081;-0.4081;-0.4081;-0.4044;-0.4044;-0.4044;-0.4044;-0.3528;-0.3528;-0.3528;-0.3528;-0.3388;-0.3388;-0.3388;-0.3388;-0.3432;-0.3432;-0.3432;-0.3432
SETTALA;-0.0611;-0.0611;-0.0611;-0.0611;-0.0631;-0.0631;-0.0631;-0.0631;-0.0653;-0.0653;-0.0653;-0.0653;-0.0535;-0.0535;-0.0535;-0.0535;-0.0561;-0.0561;-0.0561;-0.0561
SETTIMO MILANESE;-0.0826;-0.0826;-0.0826;-0.0826;-0.078;-0.078;-0.078;-0.078;-0.0704;-0.0704;-0.0704;-0.0704;-0.0692;-0.0692;-0.0692;-0.0692;-0.0686;-0.0686;-0.0686;-0.0686
SIZIANO;-0.0692;-0.0692;-0.0692;-0.0692;-0.0692;-0.0692;-0.0692;-0.0692;-0.0692;-0.0692;-0.0692;-0.0692;-0.0692;-0.0692;-0.0692;-0.0692;-0.0692;-0.0692;-0.0692;-0.0692
SOLARO;-0.0005;-0.0005;-0.0005;-0.0005;-0.0005;-0.0005;-0.0005;-0.0005;-0.0005;-0.0005;-0.0005;-0.0005;-0.0004;-0.0004;-0.0004;-0.0004;-0.0004;-0.0004;-0.0004;-0.0004
SORDIO;-0.0161;-0.0161;-0.0161;-0.0161;-0.0161;-0.0161;-0.0161;-0.0161;-0.0161;-0.0161;-0.0161;-0.0161;-0.0161;-0.0161;-0.0161;-0.0161;-0.0161;-0.0161;-0.0161;-0.0161
TAVAZZANO CON VILLAVESCO;-0.1261;-0.1261;-0.1261;-0.1261;-0.1261;-0.1261;-0.1261;-0.1261;-0.1261;-0.1261;-0.1261;-0.1261;-0.1261;-0.1261;-0.1261;-0.1261;-0.1261;-0.1261;-0.1261;-0.1261
TREZZANO ROSA;-0.0007;-0.0007;-0.0007;-0.0007;-0.0003;-0.0003;-0.0003;-0.0003;-0.0007;-0.0007;-0.0007;-0.0007;-0.0013;-0.0013;-0.0013;-0.0013;-0.0009;-0.0009;-0.0009;-0.0009
TREZZANO SUL NAVIGLIO;-0.1029;-0.1029;-0.1029;-0.1029;-0.1086;-0.1086;-0.1086;-0.1086;-0.1031;-0.1031;-0.1031;-0.1031;-0.0988;-0.0988;-0.0988;-0.0988;-0.1071;-0.1071;-0.1071;-0.1071
TREZZO SULL`ADDA;-0.0003;-0.0003;-0.0003;-0.0003;-0.0003;-0.0003;-0.0003;-0.0003;-0.0003;-0.0003;-0.0003;-0.0003;-0.0003;-0.0003;-0.0003;-0.0003;-0.0003;-0.0003;-0.0003;-0.0003
TRIBIANO;-0.1542;-0.1542;-0.1542;-0.1542;-0.156;-0.156;-0.156;-0.156;-0.1424;-0.1424;-0.1424;-0.1424;-0.1413;-0.1413;-0.1413;-0.1413;-0.152;-0.152;-0.152;-0.152
TRUCCAZZANO;-0.0317;-0.0317;-0.0317;-0.0317;-0.0258;-0.0258;-0.0258;-0.0258;-0.0253;-0.0253;-0.0253;-0.0253;-0.0201;-0.0201;-0.0201;-0.0201;-0.0192;-0.0192;-0.0192;-0.0192
TURBIGO;-0.0501;-0.0501;-0.0501;-0.0501;-0.0544;-0.0544;-0.0544;-0.0544;-0.0512;-0.0512;-0.0512;-0.0512;-0.0493;-0.0493;-0.0493;-0.0493;-0.0484;-0.0484;-0.0484;-0.0484
UBOLDO;-0.0027;-0.0027;-0.0027;-0.0027;-0.0027;-0.0027;-0.0027;-0.0027;-0.0027;-0.0027;-0.0027;-0.0027;-0.0027;-0.0027;-0.0027;-0.0027;-0.0027;-0.0027;-0.0027;-0.0027
VANZAGHELLO;-0.0258;-0.0258;-0.0258;-0.0258;-0.0258;-0.0258;-0.0258;-0.0258;-0.0258;-0.0258;-0.0258;-0.0258;-0.0258;-0.0258;-0.0258;-0.0258;-0.0258;-0.0258;-0.0258;-0.0258
VANZAGO;-0.0063;-0.0063;-0.0063;-0.0063;-0.0068;-0.0068;-0.0068;-0.0068;-0.0064;-0.0064;-0.0064;-0.0064;-0.0067;-0.0067;-0.0067;-0.0067;-0.0094;-0.0094;-0.0094;-0.0094
VAPRIO D`ADDA;-0.0534;-0.0534;-0.0534;-0.0534;-0.0585;-0.0585;-0.0585;-0.0585;-0.0495;-0.0495;-0.0495;-0.0495;-0.0515;-0.0515;-0.0515;-0.0515;-0.0508;-0.0508;-0.0508;-0.0508
VAREDO;-0.0703;-0.0703;-0.0703;-0.0703;-0.0703;-0.0703;-0.0703;-0.0703;-0.0703;-0.0703;-0.0703;-0.0703;-0.0703;-0.0703;-0.0703;-0.0703;-0.0703;-0.0703;-0.0703;-0.0703
VERMEZZO CON ZELO;-0.0259;-0.0259;-0.0259;-0.0259;-0.0244;-0.0244;-0.0244;-0.0244;-0.0249;-0.0249;-0.0249;-0.0249;-0.0249;-0.0249;-0.0249;-0.0249;-0.0248;-0.0248;-0.0248;-0.0248
VERNATE;-0.1387;-0.1387;-0.1387;-0.1387;-0.1366;-0.1366;-0.1366;-0.1366;-0.1356;-0.1356;-0.1356;-0.1356;-0.1357;-0.1357;-0.1357;-0.1357;-0.1412;-0.1412;-0.1412;-0.1412
VIDIGULFO;-0.0007;-0.0007;-0.0007;-0.0007;-0.0007;-0.0007;-0.0007;-0.0007;-0.0007;-0.0007;-0.0007;-0.0007;-0.0007;-0.0007;-0.0007;-0.0007;-0.0007;-0.0007;-0.0007;-0.0007
VIGNATE;-0.0588;-0.0588;-0.0588;-0.0588;-0.0582;-0.0582;-0.0582;-0.0582;-0.0601;-0.0601;-0.0601;-0.0601;-0.0655;-0.0655;-0.0655;-0.0655;-0.0623;-0.0623;-0.0623;-0.0623
VILLA CORTESE;-0.0062;-0.0062;-0.0062;-0.0062;-0.0054;-0.0054;-0.0054;-0.0054;-0.0061;-0.0061;-0.0061;-0.0061;-0.0075;-0.0075;-0.0075;-0.0075;-0.0042;-0.0042;-0.0042;-0.0042
VILLASANTA;-0.0541;-0.0541;-0.0541;-0.0541;-0.0541;-0.0541;-0.0541;-0.0541;-0.0541;-0.0541;-0.0541;-0.0541;-0.0541;-0.0541;-0.0541;-0.0541;-0.0541;-0.0541;-0.0541;-0.0541
VIMERCATE;-0.039;-0.039;-0.039;-0.039;-0.039;-0.039;-0.039;-0.039;-0.039;-0.039;-0.039;-0.039;-0.039;-0.039;-0.039;-0.039;-0.039;-0.039;-0.039;-0.039
VIMODRONE;-0.1175;-0.1323;-0.1308;-0.1339;-0.1387;-0.1358;-0.14;-0.1445;-0.1471;-0.1438;-0.1434;-0.1359;-0.1293;-0.1328;-0.1413;-0.1394;-0.127;-0.1315;-0.1353;-0.1328
VITTUONE;-0.0482;-0.0482;-0.0482;-0.0482;-0.0475;-0.0475;-0.0475;-0.0475;-0.0491;-0.0491;-0.0491;-0.0491;-0.0531;-0.0531;-0.0531;-0.0531;-0.0608;-0.0608;-0.0608;-0.0608
VIZZOLO PREDABISSI;-0.0384;-0.0384;-0.0384;-0.0384;-0.0384;-0.0384;-0.0384;-0.0384;-0.0424;-0.0424;-0.0424;-0.0424;-0.043;-0.043;-0.043;-0.043;-0.0424;-0.0424;-0.0424;-0.0424
ZELO BUON PERSICO;-0.0886;-0.0886;-0.0886;-0.0886;-0.0886;-0.0886;-0.0886;-0.0886;-0.0886;-0.0886;-0.0886;-0.0886;-0.0886;-0.0886;-0.0886;-0.0886;-0.0886;-0.0886;-0.0886;-0.0886
ZIBIDO SAN GIACOMO;-0.0681;-0.0681;-0.0681;-0.0681;-0.0678;-0.0678;-0.0678;-0.0678;-0.0681;-0.0681;-0.0681;-0.0681;-0.0717;-0.0717;-0.0717;-0.0717;-0.072;-0.072;-0.072;-0.072
