,nome_com,SP1,SP2,SP3,SP4,SP5,SP6,SP7,SP8,SP9,SP10,SP11,SP12,SP13,SP14,SP15,SP16
0,ABBIATEGRASSO,-0.1105,-0.1105,-0.1105,-0.1105,-0.1097,-0.1097,-0.1097,-0.1097,-0.1153,-0.1153,-0.1153,-0.1153,-0.1135,-0.1135,-0.1135,-0.1135
1,AGRATE BRIANZA,-0.0607,-0.0607,-0.0607,-0.0607,-0.0607,-0.0607,-0.0607,-0.0607,-0.0607,-0.0607,-0.0607,-0.0607,-0.0607,-0.0607,-0.0607,-0.0607
2,ALBAIRATE,-0.0077,-0.0077,-0.0077,-0.0077,-0.0094,-0.0094,-0.0094,-0.0094,-0.0109,-0.0109,-0.0109,-0.0109,-0.0107,-0.0107,-0.0107,-0.0107
3,ARCONATE,-0.0031,-0.0031,-0.0031,-0.0031,-0.0031,-0.0031,-0.0031,-0.0031,-0.0031,-0.0031,-0.0031,-0.0031,-0.0031,-0.0031,-0.0031,-0.0031
4,ARESE,-0.0265,-0.0265,-0.0265,-0.0265,-0.0264,-0.0264,-0.0264,-0.0264,-0.0241,-0.0241,-0.0241,-0.0241,-0.0237,-0.0237,-0.0237,-0.0237
5,ARLUNO,-0.0316,-0.0316,-0.0316,-0.0316,-0.0316,-0.0316,-0.0316,-0.0316,-0.0316,-0.0316,-0.0316,-0.0316,-0.0663,-0.0663,-0.0663,-0.0663
6,ASSAGO,-0.1206,-0.1206,-0.1206,-0.1206,-0.1226,-0.1226,-0.1226,-0.1226,-0.1198,-0.1198,-0.1198,-0.1198,-0.1175,-0.1175,-0.1175,-0.1175
7,BARANZATE,-0.0083,-0.0083,-0.0083,-0.0083,-0.0102,-0.0102,-0.0102,-0.0102,-0.0092,-0.0092,-0.0092,-0.0092,-0.0161,-0.0161,-0.0161,-0.0161
8,BAREGGIO,-0.0666,-0.0666,-0.0666,-0.0666,-0.067,-0.067,-0.067,-0.067,-0.0673,-0.0673,-0.0673,-0.0673,-0.0587,-0.0587,-0.0587,-0.0587
9,BASIANO,-0.0064,-0.0064,-0.0064,-0.0064,-0.0057,-0.0057,-0.0057,-0.0057,-0.0052,-0.0052,-0.0052,-0.0052,-0.0054,-0.0054,-0.0054,-0.0054
10,BASIGLIO,-0.0254,-0.0254,-0.0254,-0.0254,-0.026,-0.026,-0.026,-0.026,-0.0269,-0.0269,-0.0269,-0.0269,-0.025,-0.025,-0.025,-0.025
11,BELLINZAGO LOMBARDO,-0.0114,-0.0114,-0.0114,-0.0114,-0.002,-0.002,-0.002,-0.002,-0.0015,-0.0015,-0.0015,-0.0015,-0.0016,-0.0016,-0.0016,-0.0016
12,BERNATE TICINO,-0.0002,-0.0002,-0.0002,-0.0002,-0.0002,-0.0002,-0.0002,-0.0002,-0.0003,-0.0003,-0.0003,-0.0003,-0.0003,-0.0003,-0.0003,-0.0003
13,BINASCO,-0.0721,-0.0721,-0.0721,-0.0721,-0.075,-0.075,-0.075,-0.075,-0.0683,-0.0683,-0.0683,-0.0683,-0.0673,-0.0673,-0.0673,-0.0673
14,BOFFALORA SOPRA TICINO,-0.0112,-0.0112,-0.0112,-0.0112,-0.0123,-0.0123,-0.0123,-0.0123,-0.012,-0.012,-0.012,-0.012,-0.0116,-0.0116,-0.0116,-0.0116
15,BOLLATE,-0.1165,-0.1165,-0.1165,-0.1165,-0.1241,-0.1241,-0.1241,-0.1241,-0.1194,-0.1194,-0.1194,-0.1194,-0.1208,-0.1208,-0.1208,-0.1208
16,BOVISIO MASCIAGO,-0.0272,-0.0272,-0.0272,-0.0272,-0.0272,-0.0272,-0.0272,-0.0272,-0.0272,-0.0272,-0.0272,-0.0272,-0.0272,-0.0272,-0.0272,-0.0272
17,BRESSO,-0.0272,-0.0272,-0.0272,-0.0272,-0.0892,-0.0892,-0.0892,-0.0892,-0.0541,-0.0541,-0.0541,-0.0541,-0.0367,-0.0367,-0.0367,-0.0367
18,BRUGHERIO,-0.011,-0.011,-0.011,-0.011,-0.011,-0.011,-0.011,-0.011,-0.011,-0.011,-0.011,-0.011,-0.011,-0.011,-0.011,-0.011
19,BUBBIANO,-0.0041,-0.0041,-0.0041,-0.0041,-0.0041,-0.0041,-0.0041,-0.0041,-0.0036,-0.0036,-0.0036,-0.0036,-0.0045,-0.0045,-0.0045,-0.0045
20,BUCCINASCO,-0.1383,-0.1383,-0.1383,-0.1383,-0.1384,-0.1384,-0.1384,-0.1384,-0.1385,-0.1385,-0.1385,-0.1385,-0.134,-0.134,-0.134,-0.134
21,BURAGO DI MOLGORA,-0.0075,-0.0075,-0.0075,-0.0075,-0.0075,-0.0075,-0.0075,-0.0075,-0.0075,-0.0075,-0.0075,-0.0075,-0.0075,-0.0075,-0.0075,-0.0075
22,BUSCATE,-0.0058,-0.0058,-0.0058,-0.0058,-0.0058,-0.0058,-0.0058,-0.0058,-0.0058,-0.0058,-0.0058,-0.0058,-0.0058,-0.0058,-0.0058,-0.0058
23,BUSSERO,-0.0216,-0.0216,-0.0216,-0.0216,-0.0225,-0.0225,-0.0225,-0.0225,-0.0249,-0.0249,-0.0249,-0.0249,-0.0263,-0.0263,-0.0263,-0.0263
24,BUSTO ARSIZIO,-0.0303,-0.0303,-0.0303,-0.0303,-0.0303,-0.0303,-0.0303,-0.0303,-0.0303,-0.0303,-0.0303,-0.0303,-0.0303,-0.0303,-0.0303,-0.0303
25,BUSTO GAROLFO,-0.02,-0.02,-0.02,-0.02,-0.0195,-0.0195,-0.0195,-0.0195,-0.0203,-0.0203,-0.0203,-0.0203,-0.021,-0.021,-0.021,-0.021
26,CALVIGNASCO,-0.008,-0.008,-0.008,-0.008,-0.0098,-0.0098,-0.0098,-0.0098,-0.0087,-0.0087,-0.0087,-0.0087,-0.0098,-0.0098,-0.0098,-0.0098
27,CAMBIAGO,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0032,-0.0036,-0.0036,-0.0036,-0.0036,0.0,0.0,0.0,0.0
28,CANEGRATE,-0.0009,-0.0009,-0.0009,-0.0009,-0.0016,-0.0016,-0.0016,-0.0016,-0.0016,-0.0016,-0.0016,-0.0016,-0.001,-0.001,-0.001,-0.001
29,CAPONAGO,-0.0075,-0.0075,-0.0075,-0.0075,-0.0075,-0.0075,-0.0075,-0.0075,-0.0075,-0.0075,-0.0075,-0.0075,-0.0075,-0.0075,-0.0075,-0.0075
30,CARONNO PERTUSELLA,-0.4689,-0.4689,-0.4689,-0.4689,-0.4689,-0.4689,-0.4689,-0.4689,-0.4689,-0.4689,-0.4689,-0.4689,-0.4689,-0.4689,-0.4689,-0.4689
31,CARPIANO,-0.0389,-0.0389,-0.0389,-0.0389,-0.0379,-0.0379,-0.0379,-0.0379,-0.0319,-0.0319,-0.0319,-0.0319,-0.0332,-0.0332,-0.0332,-0.0332
32,CARUGATE,-0.0586,-0.0586,-0.0586,-0.0586,-0.0617,-0.0617,-0.0617,-0.0617,-0.0625,-0.0625,-0.0625,-0.0625,-0.0605,-0.0605,-0.0605,-0.0605
33,CASALETTO LODIGIANO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,CASALMAIOCCO,-0.0172,-0.0172,-0.0172,-0.0172,-0.0172,-0.0172,-0.0172,-0.0172,-0.0172,-0.0172,-0.0172,-0.0172,-0.0172,-0.0172,-0.0172,-0.0172
35,CASARILE,-0.0258,-0.0258,-0.0258,-0.0258,-0.0258,-0.0258,-0.0258,-0.0258,-0.0258,-0.0258,-0.0258,-0.0258,-0.0258,-0.0258,-0.0258,-0.0258
36,CASOREZZO,-0.0125,-0.0125,-0.0125,-0.0125,-0.0127,-0.0127,-0.0127,-0.0127,-0.0125,-0.0125,-0.0125,-0.0125,-0.0134,-0.0134,-0.0134,-0.0134
37,CASSANO D`ADDA,-0.0962,-0.0962,-0.0962,-0.0962,-0.1036,-0.1036,-0.1036,-0.1036,-0.1013,-0.1013,-0.1013,-0.1013,-0.0986,-0.0986,-0.0986,-0.0986
38,CASSINA DE PECCHI,-0.0754,-0.0754,-0.0754,-0.0754,-0.0763,-0.0763,-0.0763,-0.0763,-0.0759,-0.0759,-0.0759,-0.0759,-0.0634,-0.0634,-0.0634,-0.0634
39,CASSINETTA DI LUGAGNANO,-0.0072,-0.0072,-0.0072,-0.0072,-0.0075,-0.0075,-0.0075,-0.0075,-0.0063,-0.0063,-0.0063,-0.0063,-0.0053,-0.0053,-0.0053,-0.0053
40,CASTANO PRIMO,-0.0093,-0.0093,-0.0093,-0.0093,-0.0098,-0.0098,-0.0098,-0.0098,-0.0099,-0.0099,-0.0099,-0.0099,-0.0107,-0.0107,-0.0107,-0.0107
41,CERNUSCO SUL NAVIGLIO,-0.1646,-0.1646,-0.1646,-0.1646,-0.1445,-0.1445,-0.1445,-0.1445,-0.1436,-0.1436,-0.1436,-0.1436,-0.1683,-0.1683,-0.1683,-0.1683
42,CERRO AL LAMBRO,-0.0212,-0.0212,-0.0212,-0.0212,-0.024,-0.024,-0.024,-0.024,-0.0262,-0.0262,-0.0262,-0.0262,-0.0275,-0.0275,-0.0275,-0.0275
43,CERRO MAGGIORE,-0.0198,-0.0198,-0.0198,-0.0198,-0.0196,-0.0196,-0.0196,-0.0196,-0.0174,-0.0174,-0.0174,-0.0174,-0.0186,-0.0186,-0.0186,-0.0186
44,CERVIGNANO D`ADDA,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111,-0.0111
45,CESANO BOSCONE,-0.0873,-0.0873,-0.0873,-0.0873,-0.0809,-0.0809,-0.0809,-0.0809,-0.0794,-0.0794,-0.0794,-0.0794,-0.0866,-0.0866,-0.0866,-0.0866
46,CESATE,-0.0118,-0.0118,-0.0118,-0.0118,-0.0099,-0.0099,-0.0099,-0.0099,-0.0049,-0.0049,-0.0049,-0.0049,-0.0074,-0.0074,-0.0074,-0.0074
47,CINISELLO BALSAMO,-0.295,-0.295,-0.295,-0.295,-0.2874,-0.2874,-0.2874,-0.2874,-0.2833,-0.2833,-0.2833,-0.2833,-0.2781,-0.2781,-0.2781,-0.2781
48,CISLIANO,-0.0391,-0.0391,-0.0391,-0.0391,-0.0398,-0.0398,-0.0398,-0.0398,-0.039,-0.039,-0.039,-0.039,-0.0401,-0.0401,-0.0401,-0.0401
49,COLOGNO MONZESE,-0.2194,-0.2194,-0.2194,-0.2194,-0.247,-0.247,-0.247,-0.247,-0.2438,-0.2438,-0.2438,-0.2438,-0.2482,-0.2482,-0.2482,-0.2482
50,COLTURANO,-0.0173,-0.0173,-0.0173,-0.0173,-0.0139,-0.0139,-0.0139,-0.0139,-0.0134,-0.0134,-0.0134,-0.0134,-0.0161,-0.0161,-0.0161,-0.0161
51,COMAZZO,-0.0128,-0.0128,-0.0128,-0.0128,-0.0128,-0.0128,-0.0128,-0.0128,-0.0128,-0.0128,-0.0128,-0.0128,-0.0128,-0.0128,-0.0128,-0.0128
52,CONCOREZZO,-0.0546,-0.0546,-0.0546,-0.0546,-0.0546,-0.0546,-0.0546,-0.0546,-0.0546,-0.0546,-0.0546,-0.0546,-0.0546,-0.0546,-0.0546,-0.0546
53,CORBETTA,-0.0985,-0.0985,-0.0985,-0.0985,-0.093,-0.093,-0.093,-0.093,-0.0687,-0.0687,-0.0687,-0.0687,-0.0717,-0.0717,-0.0717,-0.0717
54,CORMANO,-0.0531,-0.0531,-0.0531,-0.0531,-0.0346,-0.0346,-0.0346,-0.0346,-0.0352,-0.0352,-0.0352,-0.0352,-0.0535,-0.0535,-0.0535,-0.0535
55,CORNAREDO,-0.0662,-0.0662,-0.0662,-0.0662,-0.0643,-0.0643,-0.0643,-0.0643,-0.0674,-0.0674,-0.0674,-0.0674,-0.0644,-0.0644,-0.0644,-0.0644
56,CORSICO,-0.0267,-0.0267,-0.0267,-0.0267,-0.0289,-0.0289,-0.0289,-0.0289,-0.0283,-0.0283,-0.0283,-0.0283,-0.0273,-0.0273,-0.0273,-0.0273
57,CUGGIONO,-0.0366,-0.0366,-0.0366,-0.0366,-0.0436,-0.0436,-0.0436,-0.0436,-0.0348,-0.0348,-0.0348,-0.0348,-0.0178,-0.0178,-0.0178,-0.0178
58,CUSAGO,-0.0417,-0.0417,-0.0417,-0.0417,-0.0459,-0.0459,-0.0459,-0.0459,-0.0493,-0.0493,-0.0493,-0.0493,-0.0491,-0.0491,-0.0491,-0.0491
59,CUSANO MILANINO,-0.1198,-0.1198,-0.1198,-0.1198,-0.1038,-0.1038,-0.1038,-0.1038,-0.1353,-0.1353,-0.1353,-0.1353,-0.1255,-0.1255,-0.1255,-0.1255
60,DESIO,-0.0253,-0.0253,-0.0253,-0.0253,-0.0253,-0.0253,-0.0253,-0.0253,-0.0253,-0.0253,-0.0253,-0.0253,-0.0253,-0.0253,-0.0253,-0.0253
61,DRESANO,-0.0132,-0.0132,-0.0132,-0.0132,-0.0152,-0.0152,-0.0152,-0.0152,-0.015,-0.015,-0.015,-0.015,-0.0144,-0.0144,-0.0144,-0.0144
62,GAGGIANO,-0.113,-0.113,-0.113,-0.113,-0.0578,-0.0578,-0.0578,-0.0578,-0.0552,-0.0552,-0.0552,-0.0552,-0.0558,-0.0558,-0.0558,-0.0558
63,GALGAGNANO,-0.0062,-0.0062,-0.0062,-0.0062,-0.0062,-0.0062,-0.0062,-0.0062,-0.0062,-0.0062,-0.0062,-0.0062,-0.0062,-0.0062,-0.0062,-0.0062
64,GARBAGNATE MILANESE,-0.0283,-0.0283,-0.0283,-0.0283,-0.0272,-0.0272,-0.0272,-0.0272,-0.0258,-0.0258,-0.0258,-0.0258,-0.0254,-0.0254,-0.0254,-0.0254
65,GESSATE,-0.0015,-0.0015,-0.0015,-0.0015,-0.0015,-0.0015,-0.0015,-0.0015,-0.0096,-0.0096,-0.0096,-0.0096,-0.0049,-0.0049,-0.0049,-0.0049
66,GORGONZOLA,-0.0069,-0.0069,-0.0069,-0.0069,-0.0069,-0.0069,-0.0069,-0.0069,-0.095,-0.095,-0.095,-0.095,-0.0993,-0.0993,-0.0993,-0.0993
67,GREZZAGO,-0.0016,-0.0016,-0.0016,-0.0016,-0.0016,-0.0016,-0.0016,-0.0016,-0.0016,-0.0016,-0.0016,-0.0016,-0.0016,-0.0016,-0.0016,-0.0016
68,GUDO VISCONTI,-0.005,-0.005,-0.005,-0.005,-0.0066,-0.0066,-0.0066,-0.0066,-0.0067,-0.0067,-0.0067,-0.0067,-0.007,-0.007,-0.007,-0.007
69,INVERUNO,-0.0351,-0.0351,-0.0351,-0.0351,-0.0356,-0.0356,-0.0356,-0.0356,-0.0332,-0.0332,-0.0332,-0.0332,-0.0328,-0.0328,-0.0328,-0.0328
70,INZAGO,-0.0487,-0.0487,-0.0487,-0.0487,-0.0508,-0.0508,-0.0508,-0.0508,-0.0355,-0.0355,-0.0355,-0.0355,-0.0434,-0.0434,-0.0434,-0.0434
71,LACCHIARELLA,-0.061,-0.061,-0.061,-0.061,-0.0738,-0.0738,-0.0738,-0.0738,-0.0732,-0.0732,-0.0732,-0.0732,-0.078,-0.078,-0.078,-0.078
72,LAINATE,-0.0634,-0.0634,-0.0634,-0.0634,-0.0634,-0.0634,-0.0634,-0.0634,-0.0609,-0.0609,-0.0609,-0.0609,-0.08,-0.08,-0.08,-0.08
73,LANDRIANO,-0.0118,-0.0118,-0.0118,-0.0118,-0.0118,-0.0118,-0.0118,-0.0118,-0.0118,-0.0118,-0.0118,-0.0118,-0.0118,-0.0118,-0.0118,-0.0118
74,LEGNANO,-0.0916,-0.0916,-0.0916,-0.0916,-0.0903,-0.0903,-0.0903,-0.0903,-0.0819,-0.0819,-0.0819,-0.0819,-0.0802,-0.0802,-0.0802,-0.0802
75,LIMBIATE,-0.0275,-0.0275,-0.0275,-0.0275,-0.0275,-0.0275,-0.0275,-0.0275,-0.0275,-0.0275,-0.0275,-0.0275,-0.0275,-0.0275,-0.0275,-0.0275
76,LISCATE,-0.0359,-0.0359,-0.0359,-0.0359,-0.0366,-0.0366,-0.0366,-0.0366,-0.0379,-0.0379,-0.0379,-0.0379,-0.0386,-0.0386,-0.0386,-0.0386
77,LISSONE,-0.0184,-0.0184,-0.0184,-0.0184,-0.0184,-0.0184,-0.0184,-0.0184,-0.0184,-0.0184,-0.0184,-0.0184,-0.0184,-0.0184,-0.0184,-0.0184
78,LOCATE DI TRIULZI,-0.0474,-0.0474,-0.0474,-0.0474,-0.0469,-0.0469,-0.0469,-0.0469,-0.0463,-0.0463,-0.0463,-0.0463,-0.0479,-0.0479,-0.0479,-0.0479
79,LODI,-0.269,-0.269,-0.269,-0.269,-0.269,-0.269,-0.269,-0.269,-0.269,-0.269,-0.269,-0.269,-0.269,-0.269,-0.269,-0.269
80,LODI VECCHIO,-0.038,-0.038,-0.038,-0.038,-0.038,-0.038,-0.038,-0.038,-0.038,-0.038,-0.038,-0.038,-0.038,-0.038,-0.038,-0.038
81,LONATE POZZOLO,-0.0735,-0.0735,-0.0735,-0.0735,-0.0735,-0.0735,-0.0735,-0.0735,-0.0735,-0.0735,-0.0735,-0.0735,-0.0735,-0.0735,-0.0735,-0.0735
82,MAGENTA,-0.3737,-0.3737,-0.3737,-0.3737,-0.3704,-0.3704,-0.3704,-0.3704,-0.3723,-0.3723,-0.3723,-0.3723,-0.3821,-0.3821,-0.3821,-0.3821
